         3444116 function calls (3383436 primitive calls) in 2.837 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.716    0.716    0.716    0.716 {built-in method euphonic._euphonic.calculate_phonons}
    69782    0.116    0.000    0.122    0.000 reader.py:99(forward)
   150803    0.091    0.000    0.091    0.000 scanner.py:279(stale_possible_simple_keys)
   135401    0.080    0.000    0.185    0.000 scanner.py:145(need_more_tokens)
     7531    0.072    0.000    0.218    0.000 scanner.py:1270(scan_plain)
   308753    0.059    0.000    0.060    0.000 reader.py:87(peek)
    81506    0.059    0.000    0.740    0.000 scanner.py:113(check_token)
     2989    0.048    0.000    0.048    0.000 {built-in method posix.stat}
      505    0.048    0.000    0.057    0.000 <frozen importlib._bootstrap_external>:830(get_data)
      505    0.045    0.000    0.045    0.000 {built-in method marshal.loads}
        2    0.044    0.022    0.182    0.091 npyio.py:994(read_data)
    94/93    0.042    0.000    0.046    0.000 {built-in method _imp.create_dynamic}
    19529    0.039    0.000    0.523    0.000 scanner.py:156(fetch_more_tokens)
    19529    0.039    0.000    0.115    0.000 scanner.py:752(scan_to_next_token)
    10333    0.035    0.000    0.162    0.000 parser.py:273(parse_node)
    749/1    0.033    0.000    2.839    2.839 {built-in method builtins.exec}
211074/211073    0.032    0.000    0.047    0.000 {built-in method builtins.isinstance}
    49291    0.032    0.000    0.053    0.000 reader.py:114(get_mark)
    75000    0.031    0.000    0.037    0.000 npyio.py:734(floatconv)
50000/25000    0.029    0.000    0.031    0.000 npyio.py:966(pack_items)
   131274    0.028    0.000    0.028    0.000 scanner.py:264(next_possible_simple_key)
61014/61009    0.023    0.000    0.023    0.000 {built-in method builtins.hasattr}
        1    0.022    0.022    0.816    0.816 force_constants.py:129(calculate_qpoint_phonon_modes)
    49291    0.022    0.000    0.022    0.000 error.py:6(__init__)
    36177    0.022    0.000    0.908    0.000 parser.py:94(check_event)
    25001    0.021    0.000    0.048    0.000 npyio.py:982(split_line)
  10333/1    0.021    0.000    0.990    0.990 composer.py:63(compose_node)
1219/1213    0.021    0.000    0.052    0.000 {built-in method builtins.__build_class__}
225471/223160    0.019    0.000    0.019    0.000 {built-in method builtins.len}
     8807    0.018    0.000    0.205    0.000 parser.py:476(parse_flow_sequence_entry)
   155495    0.017    0.000    0.017    0.000 {method 'startswith' of 'str' objects}
     2500    0.017    0.000    0.038    0.000 registry.py:1030(_parse_unit_name)
      318    0.017    0.000    0.050    0.000 doccer.py:12(docformat)
  2652/12    0.016    0.000    0.985    0.082 composer.py:99(compose_sequence_node)
    25000    0.016    0.000    0.052    0.000 npyio.py:1019(<listcomp>)
     9743    0.016    0.000    0.033    0.000 scanner.py:295(save_possible_simple_key)
    21221    0.015    0.000    0.045    0.000 scanner.py:135(get_token)
    10333    0.013    0.000    0.032    0.000 constructor.py:67(construct_object)
        1    0.013    0.013    0.023    0.023 force_constants.py:1073(_calculate_supercell_images)
   174827    0.013    0.000    0.013    0.000 {method 'append' of 'list' objects}
     5588    0.012    0.000    0.017    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
     7531    0.012    0.000    0.028    0.000 scanner.py:1311(scan_plain_spaces)
     3965    0.012    0.000    0.029    0.000 util.py:324(__init__)
    50084    0.012    0.000    0.037    0.000 numpy_func.py:57(<genexpr>)
    94/58    0.012    0.000    0.072    0.001 {built-in method _imp.exec_dynamic}
     7541    0.012    0.000    0.033    0.000 composer.py:88(compose_scalar_node)
     1321    0.012    0.000    0.012    0.000 {built-in method numpy.core.multiarray.array}
    18442    0.012    0.000    0.013    0.000 reader.py:94(prefix)
    10505    0.011    0.000    0.011    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
    10333    0.011    0.000    0.018    0.000 resolver.py:143(resolve)
    25033    0.010    0.000    0.010    0.000 {method 'split' of '_sre.SRE_Pattern' objects}
    22593    0.010    0.000    0.020    0.000 scanner.py:1416(scan_line_break)
     1604    0.010    0.000    0.074    0.000 <frozen importlib._bootstrap_external>:1233(find_spec)
