         18900640 function calls (18699032 primitive calls) in 46.489 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    75000    7.985    0.000    7.985    0.000 {built-in method phonopy._phonopy.dynamical_matrix}
    25125    6.300    0.000    6.300    0.000 {built-in method numpy.core.multiarray.concatenate}
    75001    4.099    0.000    5.382    0.000 linalg.py:1162(eigh)
    94/93    2.281    0.024    2.287    0.025 {built-in method _imp.create_dynamic}
   951605    1.731    0.000    1.731    0.000 {built-in method numpy.core.multiarray.array}
        1    1.156    1.156    1.156    1.156 {built-in method euphonic._euphonic.calculate_phonons}
99992/49996    1.042    0.000    1.649    0.000 numeric.py:1309(roll)
   280728    1.020    0.000    1.020    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    74994    0.993    0.000    2.024    0.000 numeric.py:2319(within_tol)
    75011    0.887    0.000    1.854    0.000 linalg.py:464(inv)
    25000    0.601    0.000   19.710    0.001 band_structure.py:807(_solve_dm_on_path)
      509    0.600    0.001    1.175    0.002 <frozen importlib._bootstrap_external>:830(get_data)
      509    0.575    0.001    0.575    0.001 {method 'read' of '_io.FileIO' objects}
    24998    0.571    0.000    1.560    0.000 arrayprint.py:780(fillFormat)
    75001    0.568    0.000    0.946    0.000 linalg.py:2103(norm)
    75000    0.524    0.000    9.616    0.000 dynamical_matrix.py:234(_run_c_dynamical_matrix)
   225034    0.475    0.000    0.475    0.000 {method 'astype' of 'numpy.ndarray' objects}
    75000    0.457    0.000    3.785    0.000 band_structure.py:770(_shift_point)
     3006    0.427    0.000    0.427    0.000 {built-in method posix.stat}
    74994    0.409    0.000    4.276    0.000 numeric.py:2260(isclose)
   150436    0.350    0.000    0.350    0.000 {built-in method numpy.core.multiarray.dot}
   199990    0.335    0.000    0.864    0.000 numeric.py:2460(seterr)
   150019    0.334    0.000    0.567    0.000 linalg.py:138(_commonType)
   149988    0.332    0.000    0.332    0.000 {built-in method numpy.core.multiarray.dragon4_positional}
    24998    0.319    0.000    6.974    0.000 util.py:357(_get_qpt_label)
   199990    0.297    0.000    0.319    0.000 numeric.py:2560(geterr)
99992/24998    0.292    0.000    0.842    0.000 arrayprint.py:648(recurser)
    75019    0.289    0.000    0.289    0.000 {built-in method numpy.core.multiarray.arange}
   139564    0.278    0.000    0.292    0.000 reader.py:99(forward)
    75057    0.265    0.000    0.265    0.000 {built-in method numpy.core.multiarray.zeros}
   301606    0.260    0.000    0.260    0.000 scanner.py:279(stale_possible_simple_keys)
    75003    0.243    0.000    0.243    0.000 {method 'view' of 'numpy.ndarray' objects}
    74994    0.234    0.000    0.418    0.000 arrayprint.py:862(__call__)
   150019    0.226    0.000    0.385    0.000 linalg.py:208(_assertNdSquareness)
   100000    0.217    0.000    0.217    0.000 {method 'copy' of 'numpy.generic' objects}
   150203    0.200    0.000    0.200    0.000 {method 'copy' of 'numpy.ndarray' objects}
    24998    0.198    0.000    0.235    0.000 util.py:381(<listcomp>)
   150016    0.193    0.000    0.947    0.000 fromnumeric.py:2021(all)
    75000    0.191    0.000    9.807    0.000 dynamical_matrix.py:217(_run)
   270802    0.185    0.000    0.477    0.000 scanner.py:145(need_more_tokens)
    15062    0.175    0.000    0.559    0.000 scanner.py:1270(scan_plain)
    50070    0.174    0.000    0.242    0.000 numeric.py:1459(normalize_axis_tuple)
   150111    0.174    0.000    0.174    0.000 {method 'ravel' of 'numpy.ndarray' objects}
        1    0.173    0.173   20.388   20.388 band_structure.py:776(_set_band)
   150012    0.167    0.000    0.167    0.000 linalg.py:100(get_linalg_error_extobj)
700798/700686    0.166    0.000    0.167    0.000 {built-in method builtins.issubclass}
   225309    0.153    0.000    0.207    0.000 {built-in method builtins.max}
   199991    0.153    0.000    0.153    0.000 {built-in method numpy.core.umath.seterrobj}
   228014    0.147    0.000    1.053    0.000 {method 'all' of 'numpy.ndarray' objects}
   150012    0.142    0.000    0.326    0.000 linalg.py:105(_makearray)
   617506    0.139    0.000    0.142    0.000 reader.py:87(peek)
   163012    0.139    0.000    1.873    0.000 scanner.py:113(check_token)
   175067    0.137    0.000    0.137    0.000 {built-in method builtins.abs}
1225267/1222924    0.132    0.000    0.133    0.000 {built-in method builtins.len}
   375030    0.132    0.000    0.201    0.000 linalg.py:110(isComplexType)
   150019    0.124    0.000    0.124    0.000 linalg.py:197(_assertRankAtLeast2)
261829/261815    0.119    0.000    0.119    0.000 {built-in method builtins.hasattr}
        1    0.116    0.116   13.628   13.628 util.py:292(_recip_space_labels)
   451038    0.114    0.000    1.116    0.000 numeric.py:495(asanyarray)
   225012    0.107    0.000    0.170    0.000 linalg.py:123(_realType)
    24998    0.106    0.000    2.829    0.000 arrayprint.py:432(_array2string)
    99995    0.098    0.000    0.452    0.000 numeric.py:2862(__exit__)
    39058    0.096    0.000    0.277    0.000 scanner.py:752(scan_to_next_token)
    99995    0.096    0.000    0.122    0.000 numeric.py:2853(__init__)
   250076    0.095    0.000    0.207    0.000 numeric.py:424(asarray)
    24998    0.094    0.000    1.839    0.000 arrayprint.py:363(_get_format_function)
    39058    0.094    0.000    1.319    0.000 scanner.py:156(fetch_more_tokens)
    99995    0.091    0.000    0.601    0.000 numeric.py:2857(__enter__)
    20666    0.087    0.000    0.389    0.000 parser.py:273(parse_node)
    98582    0.086    0.000    0.086    0.000 error.py:6(__init__)
417430/417377    0.085    0.000    0.103    0.000 {built-in method builtins.isinstance}
    99992    0.085    0.000    0.232    0.000 arrayprint.py:832(<genexpr>)
    76973    0.081    0.000    0.081    0.000 {built-in method numpy.core.multiarray.where}
   582815    0.080    0.000    0.080    0.000 {method 'append' of 'list' objects}
