         20324353 function calls (20122747 primitive calls) in 44.836 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    75000    7.151    0.000    7.151    0.000 {built-in method phonopy._phonopy.dynamical_matrix}
    25125    5.758    0.000    5.758    0.000 {built-in method numpy.core.multiarray.concatenate}
   100001    4.850    0.000    6.356    0.000 linalg.py:1162(eigh)
    25001    1.997    0.000    2.281    0.000 force_constants.py:1015(_calculate_phases)
  1001592    1.626    0.000    1.626    0.000 {built-in method numpy.core.multiarray.array}
    25001    1.610    0.000    5.309    0.000 force_constants.py:492(_calculate_dyn_mat)
   330728    1.574    0.000    1.574    0.000 {method 'reduce' of 'numpy.ufunc' objects}
99992/49996    0.943    0.000    1.473    0.000 numeric.py:1309(roll)
    74994    0.841    0.000    1.749    0.000 numeric.py:2319(within_tol)
    25000    0.754    0.000    8.287    0.000 force_constants.py:442(_calculate_phonons_at_q)
    75011    0.720    0.000    1.535    0.000 linalg.py:464(inv)
    24998    0.501    0.000    1.393    0.000 arrayprint.py:780(fillFormat)
    25000    0.496    0.000   16.810    0.001 band_structure.py:807(_solve_dm_on_path)
   275020    0.474    0.000    0.474    0.000 {method 'astype' of 'numpy.ndarray' objects}
    75001    0.461    0.000    0.775    0.000 linalg.py:2103(norm)
    75000    0.423    0.000    8.477    0.000 dynamical_matrix.py:234(_run_c_dynamical_matrix)
    75000    0.375    0.000    3.106    0.000 band_structure.py:770(_shift_point)
   175019    0.353    0.000    0.605    0.000 linalg.py:138(_commonType)
    74994    0.352    0.000    3.737    0.000 numeric.py:2260(isclose)
    50055    0.352    0.000    0.352    0.000 {method 'repeat' of 'numpy.ndarray' objects}
   100057    0.341    0.000    0.341    0.000 {built-in method numpy.core.multiarray.zeros}
   199990    0.308    0.000    0.761    0.000 numeric.py:2460(seterr)
   149988    0.302    0.000    0.302    0.000 {built-in method numpy.core.multiarray.dragon4_positional}
    24998    0.289    0.000    6.138    0.000 util.py:357(_get_qpt_label)
   150435    0.285    0.000    0.285    0.000 {built-in method numpy.core.multiarray.dot}
   199990    0.273    0.000    0.294    0.000 numeric.py:2560(geterr)
99992/24998    0.267    0.000    0.757    0.000 arrayprint.py:648(recurser)
   139564    0.255    0.000    0.268    0.000 reader.py:99(forward)
    75019    0.234    0.000    0.234    0.000 {built-in method numpy.core.multiarray.arange}
   175019    0.231    0.000    0.400    0.000 linalg.py:208(_assertNdSquareness)
    74994    0.206    0.000    0.370    0.000 arrayprint.py:862(__call__)
    75003    0.194    0.000    0.194    0.000 {method 'view' of 'numpy.ndarray' objects}
   301606    0.190    0.000    0.190    0.000 scanner.py:279(stale_possible_simple_keys)
    24998    0.182    0.000    0.216    0.000 util.py:381(<listcomp>)
   100000    0.177    0.000    0.177    0.000 {method 'copy' of 'numpy.generic' objects}
        1    0.173    0.173    8.542    8.542 force_constants.py:129(calculate_qpoint_phonon_modes)
   270802    0.173    0.000    0.394    0.000 scanner.py:145(need_more_tokens)
   150016    0.167    0.000    0.821    0.000 fromnumeric.py:2021(all)
   175012    0.164    0.000    0.164    0.000 linalg.py:100(get_linalg_error_extobj)
    15062    0.160    0.000    0.510    0.000 scanner.py:1270(scan_plain)
775720/775608    0.160    0.000    0.161    0.000 {built-in method builtins.issubclass}
    50046    0.153    0.000    0.215    0.000 numeric.py:1459(normalize_axis_tuple)
   150203    0.152    0.000    0.152    0.000 {method 'copy' of 'numpy.ndarray' objects}
   250309    0.151    0.000    0.202    0.000 {built-in method builtins.max}
   175012    0.150    0.000    0.332    0.000 linalg.py:105(_makearray)
    51830    0.150    0.000    0.934    0.000 fromnumeric.py:1778(sum)
    75000    0.149    0.000    8.626    0.000 dynamical_matrix.py:217(_run)
   150111    0.149    0.000    0.149    0.000 {method 'ravel' of 'numpy.ndarray' objects}
1300161/1297819    0.147    0.000    0.148    0.000 {built-in method builtins.len}
        1    0.142    0.142   17.377   17.377 band_structure.py:776(_set_band)
   228014    0.139    0.000    0.901    0.000 {method 'all' of 'numpy.ndarray' objects}
   425030    0.136    0.000    0.206    0.000 linalg.py:110(isComplexType)
   617506    0.134    0.000    0.137    0.000 reader.py:87(peek)
   163012    0.131    0.000    1.650    0.000 scanner.py:113(check_token)
   175067    0.131    0.000    0.131    0.000 {built-in method builtins.abs}
   175019    0.124    0.000    0.124    0.000 linalg.py:197(_assertRankAtLeast2)
   275012    0.122    0.000    0.191    0.000 linalg.py:123(_realType)
    50071    0.119    0.000    0.119    0.000 {built-in method numpy.core.multiarray.empty}
   199991    0.117    0.000    0.117    0.000 {built-in method numpy.core.umath.seterrobj}
    75111    0.116    0.000    0.116    0.000 {method 'reshape' of 'numpy.ndarray' objects}
    50035    0.112    0.000    0.112    0.000 {built-in method numpy.core.multiarray.copyto}
261791/261778    0.108    0.000    0.108    0.000 {built-in method builtins.hasattr}
467344/467291    0.108    0.000    0.125    0.000 {built-in method builtins.isinstance}
   101973    0.105    0.000    0.105    0.000 {built-in method numpy.core.multiarray.where}
   451038    0.105    0.000    1.000    0.000 numeric.py:495(asanyarray)
        1    0.101    0.101   12.211   12.211 util.py:292(_recip_space_labels)
    24998    0.100    0.000    2.549    0.000 arrayprint.py:432(_array2string)
   275068    0.095    0.000    0.199    0.000 numeric.py:424(asarray)
    99995    0.089    0.000    0.110    0.000 numeric.py:2853(__init__)
    39058    0.088    0.000    1.186    0.000 scanner.py:156(fetch_more_tokens)
    39058    0.087    0.000    0.254    0.000 scanner.py:752(scan_to_next_token)
    24998    0.086    0.000    1.653    0.000 arrayprint.py:363(_get_format_function)
    99995    0.082    0.000    0.394    0.000 numeric.py:2862(__exit__)
    99995    0.078    0.000    0.527    0.000 numeric.py:2857(__enter__)
   334520    0.078    0.000    0.078    0.000 {method 'get' of 'dict' objects}
    99992    0.077    0.000    0.215    0.000 arrayprint.py:832(<genexpr>)
    20666    0.077    0.000    0.356    0.000 parser.py:273(parse_node)
    24998    0.073    0.000    2.822    0.000 arrayprint.py:457(array2string)
   189762    0.071    0.000    0.071    0.000 {built-in method builtins.min}
    98582    0.071    0.000    0.071    0.000 error.py:6(__init__)
    74994    0.070    0.000    0.090    0.000 arrayprint.py:625(_extendLine)
   582815    0.070    0.000    0.070    0.000 {method 'append' of 'list' objects}
    98582    0.069    0.000    0.140    0.000 reader.py:114(get_mark)
   250518    0.068    0.000    0.206    0.000 numpy_func.py:57(<genexpr>)
   234537    0.068    0.000    0.068    0.000 {built-in method builtins.getattr}
        1    0.065    0.065    0.085    0.085 band_structure.py:860(_set_frequencies)
   228014    0.065    0.000    0.762    0.000 _methods.py:40(_all)
   399982    0.063    0.000    0.063    0.000 {built-in method numpy.core.umath.geterrobj}
    24998    0.063    0.000    1.465    0.000 arrayprint.py:754(__init__)
   262548    0.063    0.000    0.063    0.000 scanner.py:264(next_possible_simple_key)
    74994    0.059    0.000    0.059    0.000 {built-in method numpy.core.multiarray.result_type}
      509    0.054    0.000    0.054    0.000 {built-in method marshal.loads}
        2    0.054    0.027    0.216    0.108 npyio.py:994(read_data)
        2    0.052    0.026    0.052    0.026 {method 'at' of 'numpy.ufunc' objects}
    24998    0.051    0.000    2.617    0.000 arrayprint.py:415(wrapper)
     3004    0.050    0.000    0.050    0.000 {built-in method posix.stat}
    25110    0.050    0.000    5.967    0.000 function_base.py:5114(append)
    24998    0.050    0.000    0.050    0.000 arrayprint.py:310(_get_formatdict)
    24998    0.049    0.000    0.049    0.000 util.py:388(<listcomp>)
    72354    0.049    0.000    2.024    0.000 parser.py:94(check_event)
    24998    0.049    0.000    0.103    0.000 arrayprint.py:67(_make_options_dict)
    99992    0.047    0.000    0.286    0.000 arrayprint.py:837(<genexpr>)
  20666/2    0.046    0.000    2.206    1.103 composer.py:63(compose_node)
    75010    0.046    0.000    0.102    0.000 atoms.py:126(get_masses)
    50003    0.043    0.000    0.274    0.000 numeric.py:146(ones)
    75000    0.043    0.000    8.668    0.000 dynamical_matrix.py:200(run)
    24999    0.040    0.000    0.144    0.000 fromnumeric.py:2222(amax)
    17614    0.039    0.000    0.452    0.000 parser.py:476(parse_flow_sequence_entry)
    753/1    0.038    0.000   44.838   44.838 {built-in method builtins.exec}
    75119    0.038    0.000    0.133    0.000 atoms.py:105(get_cell)
