         9096317 function calls (9036002 primitive calls) in 14.123 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    75000    3.083    0.000    4.086    0.000 linalg.py:1162(eigh)
    75000    2.018    0.000    2.018    0.000 {built-in method phonopy._phonopy.dynamical_matrix}
    75008    0.664    0.000    1.462    0.000 linalg.py:464(inv)
   400351    0.538    0.000    0.538    0.000 {built-in method numpy.core.multiarray.array}
    25000    0.459    0.000   11.341    0.000 band_structure.py:807(_solve_dm_on_path)
    75000    0.454    0.000    0.797    0.000 linalg.py:2103(norm)
    75000    0.434    0.000    3.498    0.000 dynamical_matrix.py:234(_run_c_dynamical_matrix)
   225012    0.411    0.000    0.411    0.000 {method 'astype' of 'numpy.ndarray' objects}
    75000    0.381    0.000    3.062    0.000 band_structure.py:770(_shift_point)
   150417    0.298    0.000    0.298    0.000 {built-in method numpy.core.multiarray.dot}
    75004    0.277    0.000    0.277    0.000 {built-in method numpy.core.multiarray.arange}
   150010    0.259    0.000    0.432    0.000 linalg.py:138(_commonType)
    75003    0.227    0.000    0.227    0.000 {method 'view' of 'numpy.ndarray' objects}
    75037    0.218    0.000    0.218    0.000 {built-in method numpy.core.multiarray.zeros}
   150010    0.192    0.000    0.330    0.000 linalg.py:208(_assertNdSquareness)
   100000    0.184    0.000    0.184    0.000 {method 'copy' of 'numpy.generic' objects}
   150202    0.178    0.000    0.178    0.000 {method 'copy' of 'numpy.ndarray' objects}
    75000    0.139    0.000    3.637    0.000 dynamical_matrix.py:217(_run)
        1    0.138    0.138   11.981   11.981 band_structure.py:776(_set_band)
   150008    0.130    0.000    0.130    0.000 linalg.py:100(get_linalg_error_extobj)
600621/600565    0.126    0.000    0.127    0.000 {built-in method builtins.issubclass}
        1    0.119    0.119    0.155    0.155 band_structure.py:860(_set_frequencies)
    69782    0.117    0.000    0.122    0.000 reader.py:99(forward)
   150008    0.115    0.000    0.257    0.000 linalg.py:105(_makearray)
     2987    0.104    0.000    0.104    0.000 {built-in method posix.stat}
   375017    0.103    0.000    0.168    0.000 linalg.py:110(isComplexType)
    75005    0.098    0.000    0.098    0.000 {method 'ravel' of 'numpy.ndarray' objects}
   150803    0.087    0.000    0.087    0.000 scanner.py:279(stale_possible_simple_keys)
   150010    0.087    0.000    0.087    0.000 linalg.py:197(_assertRankAtLeast2)
   135401    0.083    0.000    0.183    0.000 scanner.py:145(need_more_tokens)
   150272    0.080    0.000    0.080    0.000 {built-in method builtins.max}
     7531    0.075    0.000    0.223    0.000 scanner.py:1270(scan_plain)
   225007    0.075    0.000    0.120    0.000 linalg.py:123(_realType)
   225013    0.073    0.000    0.159    0.000 numeric.py:424(asarray)
    81506    0.062    0.000    0.757    0.000 scanner.py:113(check_token)
   164723    0.061    0.000    0.061    0.000 {built-in method builtins.min}
   308753    0.060    0.000    0.061    0.000 reader.py:87(peek)
   525510    0.059    0.000    0.059    0.000 {method 'append' of 'list' objects}
        2    0.049    0.024    0.193    0.096 npyio.py:994(read_data)
372634/370337    0.048    0.000    0.049    0.000 {built-in method builtins.len}
      505    0.048    0.000    0.048    0.000 {built-in method marshal.loads}
   244347    0.048    0.000    0.048    0.000 {method 'get' of 'dict' objects}
    75010    0.042    0.000    0.122    0.000 atoms.py:126(get_masses)
    19529    0.042    0.000    0.117    0.000 scanner.py:752(scan_to_next_token)
    19529    0.041    0.000    0.538    0.000 scanner.py:156(fetch_more_tokens)
   159269    0.039    0.000    0.039    0.000 {built-in method builtins.getattr}
    10333    0.036    0.000    0.167    0.000 parser.py:273(parse_node)
    75000    0.036    0.000    3.673    0.000 dynamical_matrix.py:200(run)
    49291    0.036    0.000    0.056    0.000 reader.py:114(get_mark)
    75119    0.034    0.000    0.132    0.000 atoms.py:105(get_cell)
208865/208864    0.034    0.000    0.049    0.000 {built-in method builtins.isinstance}
    749/1    0.034    0.000   14.125   14.125 {built-in method builtins.exec}
    75000    0.033    0.000    0.039    0.000 npyio.py:734(floatconv)
    93/92    0.033    0.000    0.039    0.000 {built-in method _imp.create_dynamic}
    25073    0.032    0.000    0.032    0.000 {built-in method builtins.abs}
50000/25000    0.030    0.000    0.032    0.000 npyio.py:966(pack_items)
   131274    0.028    0.000    0.028    0.000 scanner.py:264(next_possible_simple_key)
    75000    0.028    0.000    0.028    0.000 dynamical_matrix.py:177(dynamical_matrix)
   150008    0.024    0.000    0.024    0.000 {method '__array_prepare__' of 'numpy.ndarray' objects}
    36177    0.022    0.000    0.930    0.000 parser.py:94(check_event)
  10333/1    0.022    0.000    1.015    1.015 composer.py:63(compose_node)
1219/1213    0.022    0.000    0.054    0.000 {built-in method builtins.__build_class__}
    25001    0.021    0.000    0.050    0.000 npyio.py:982(split_line)
    49291    0.021    0.000    0.021    0.000 error.py:6(__init__)
