Euphonic version: 0+unknown
         10796814 function calls (10626557 primitive calls) in 24.616 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    25011    4.657    0.000    4.657    0.000 {built-in method numpy.core.multiarray.concatenate}
    25001    2.163    0.000    2.406    0.000 force_constants.py:1015(_calculate_phases)
   325390    1.928    0.000    1.928    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    25001    1.367    0.000    5.841    0.000 force_constants.py:492(_calculate_dyn_mat)
99992/49996    1.061    0.000    1.644    0.000 numeric.py:1309(roll)
   600283    0.974    0.000    0.974    0.000 {built-in method numpy.core.multiarray.array}
    74994    0.857    0.000    1.886    0.000 numeric.py:2319(within_tol)
    25001    0.725    0.000    1.149    0.000 linalg.py:1162(eigh)
    50019    0.664    0.000    0.664    0.000 {method 'repeat' of 'numpy.ndarray' objects}
    25000    0.617    0.000    7.853    0.000 force_constants.py:442(_calculate_phonons_at_q)
    24998    0.553    0.000    1.596    0.000 arrayprint.py:780(fillFormat)
    74994    0.385    0.000    3.742    0.000 numeric.py:2260(isclose)
   199990    0.380    0.000    0.892    0.000 numeric.py:2460(seterr)
   149988    0.331    0.000    0.331    0.000 {built-in method numpy.core.multiarray.dragon4_positional}
   199990    0.321    0.000    0.348    0.000 numeric.py:2560(geterr)
99992/24998    0.313    0.000    0.869    0.000 arrayprint.py:648(recurser)
    24998    0.303    0.000    6.293    0.000 util.py:357(_get_qpt_label)
    74994    0.226    0.000    0.409    0.000 arrayprint.py:862(__call__)
   149989    0.192    0.000    0.845    0.000 fromnumeric.py:2021(all)
    24998    0.174    0.000    0.207    0.000 util.py:381(<listcomp>)
    50048    0.167    0.000    0.238    0.000 numeric.py:1459(normalize_axis_tuple)
   224983    0.142    0.000    0.872    0.000 {method 'all' of 'numpy.ndarray' objects}
262955/262942    0.135    0.000    0.135    0.000 {built-in method builtins.hasattr}
    50393    0.135    0.000    1.287    0.000 fromnumeric.py:1778(sum)
   450018    0.123    0.000    0.843    0.000 numeric.py:495(asanyarray)
   150065    0.122    0.000    0.122    0.000 {built-in method builtins.abs}
   199991    0.121    0.000    0.121    0.000 {built-in method numpy.core.umath.seterrobj}
        1    0.119    0.119    8.087    8.087 force_constants.py:129(calculate_qpoint_phonon_modes)
    24998    0.118    0.000    2.987    0.000 arrayprint.py:432(_array2string)
    25010    0.112    0.000    0.112    0.000 {built-in method numpy.core.multiarray.zeros}
    93/92    0.111    0.001    0.116    0.001 {built-in method _imp.create_dynamic}
950697/948363    0.108    0.000    0.108    0.000 {built-in method builtins.len}
    24998    0.107    0.000    1.951    0.000 arrayprint.py:363(_get_format_function)
   100395    0.104    0.000    0.104    0.000 {built-in method numpy.core.multiarray.where}
    50005    0.099    0.000    0.099    0.000 {built-in method numpy.core.multiarray.copyto}
    99995    0.097    0.000    0.123    0.000 numeric.py:2853(__init__)
    75038    0.097    0.000    0.097    0.000 {method 'reshape' of 'numpy.ndarray' objects}
        1    0.096    0.096   11.296   11.296 util.py:292(_recip_space_labels)
    50043    0.094    0.000    0.094    0.000 {built-in method numpy.core.multiarray.empty}
    24998    0.094    0.000    0.094    0.000 arrayprint.py:310(_get_formatdict)
    99992    0.093    0.000    0.241    0.000 arrayprint.py:832(<genexpr>)
    99995    0.092    0.000    0.614    0.000 numeric.py:2857(__enter__)
    24998    0.089    0.000    3.327    0.000 arrayprint.py:457(array2string)
    99995    0.088    0.000    0.459    0.000 numeric.py:2862(__exit__)
   251916    0.087    0.000    0.261    0.000 numpy_func.py:57(<genexpr>)
    50010    0.085    0.000    0.085    0.000 {method 'astype' of 'numpy.ndarray' objects}
    74994    0.084    0.000    0.109    0.000 arrayprint.py:625(_extendLine)
   100289    0.084    0.000    0.149    0.000 {built-in method builtins.max}
    24998    0.081    0.000    1.691    0.000 arrayprint.py:754(__init__)
        5    0.075    0.015    0.075    0.015 linalg.py:1822(det)
   399982    0.071    0.000    0.071    0.000 {built-in method numpy.core.umath.geterrobj}
   224983    0.070    0.000    0.730    0.000 _methods.py:40(_all)
    25007    0.069    0.000    0.108    0.000 linalg.py:138(_commonType)
    24998    0.065    0.000    3.073    0.000 arrayprint.py:415(wrapper)
    74994    0.062    0.000    0.062    0.000 {built-in method numpy.core.multiarray.result_type}
        2    0.062    0.031    0.258    0.129 npyio.py:994(read_data)
      509    0.062    0.000    0.062    0.000 {built-in method marshal.loads}
    24998    0.060    0.000    0.127    0.000 arrayprint.py:67(_make_options_dict)
157288/157236    0.060    0.000    0.080    0.000 {built-in method builtins.isinstance}
    99992    0.059    0.000    0.328    0.000 arrayprint.py:837(<genexpr>)
    74996    0.055    0.000    0.055    0.000 {method 'ravel' of 'numpy.ndarray' objects}
    25000    0.052    0.000    4.885    0.000 function_base.py:5114(append)
      509    0.049    0.000    0.096    0.000 <frozen importlib._bootstrap_external>:830(get_data)
    24999    0.048    0.000    0.166    0.000 fromnumeric.py:2222(amax)
   251942    0.047    0.000    0.174    0.000 numpy_func.py:24(_is_quantity)
    753/1    0.047    0.000   24.619   24.619 {built-in method builtins.exec}
      509    0.047    0.000    0.047    0.000 {method 'read' of '_io.FileIO' objects}
     2782    0.045    0.000    0.045    0.000 {built-in method posix.stat}
    75000    0.045    0.000    0.053    0.000 npyio.py:734(floatconv)
    25007    0.042    0.000    0.073    0.000 linalg.py:208(_assertNdSquareness)
    24998    0.041    0.000    1.732    0.000 arrayprint.py:319(<lambda>)
   100096    0.041    0.000    0.062    0.000 numeric.py:1506(<genexpr>)
    50003    0.040    0.000    0.233    0.000 numeric.py:146(ones)
        1    0.040    0.040    3.398    3.398 util.py:138(<listcomp>)
   102496    0.040    0.000    0.040    0.000 {method 'split' of 'str' objects}
50000/25000    0.039    0.000    0.042    0.000 npyio.py:966(pack_items)
    24999    0.037    0.000    0.037    0.000 {built-in method builtins.locals}
    25000    0.036    0.000    0.161    0.000 fromnumeric.py:1427(ravel)
    50035    0.035    0.000    0.115    0.000 fromnumeric.py:50(_wrapfunc)
    25123    0.035    0.000    0.035    0.000 {built-in method builtins.all}
175688/175576    0.034    0.000    0.036    0.000 {built-in method builtins.issubclass}
    24998    0.034    0.000    0.099    0.000 fromnumeric.py:2323(amin)
    74994    0.033    0.000    0.033    0.000 {built-in method math.floor}
   129507    0.032    0.000    0.032    0.000 {method 'pop' of 'dict' objects}
    24998    0.031    0.000    3.358    0.000 arrayprint.py:1358(array_str)
    25001    0.029    0.000    0.068    0.000 npyio.py:982(split_line)
    25002    0.029    0.000    0.061    0.000 linalg.py:105(_makearray)
1221/1215    0.029    0.000    0.072    0.000 {built-in method builtins.__build_class__}
    49996    0.028    0.000    0.028    0.000 numeric.py:1378(<dictcomp>)
    49996    0.028    0.000    0.028    0.000 {built-in method numpy.core.multiarray.empty_like}
       15    0.028    0.002    0.028    0.002 {built-in method numpy.core.multiarray.dot}
    25002    0.027    0.000    0.027    0.000 linalg.py:100(get_linalg_error_extobj)
    99992    0.027    0.000    0.036    0.000 arrayprint.py:838(<genexpr>)
    24998    0.026    0.000    0.026    0.000 arrayprint.py:72(<dictcomp>)
     2535    0.025    0.000    0.054    0.000 registry.py:1030(_parse_unit_name)
    84402    0.025    0.000    0.025    0.000 {built-in method builtins.getattr}
    24998    0.025    0.000    0.894    0.000 arrayprint.py:639(_formatArray)
    25007    0.025    0.000    0.025    0.000 linalg.py:197(_assertRankAtLeast2)
      318    0.025    0.000    0.071    0.000 doccer.py:12(docformat)
   156969    0.025    0.000    0.025    0.000 {method 'startswith' of 'str' objects}
     4753    0.024    0.000    0.291    0.000 {built-in method builtins.any}
        2    0.024    0.012    0.024    0.012 {method 'at' of 'numpy.ufunc' objects}
    50004    0.023    0.000    0.037    0.000 linalg.py:123(_realType)
    50393    0.023    0.000    1.128    0.000 _methods.py:31(_sum)
    25000    0.023    0.000    0.075    0.000 npyio.py:1019(<listcomp>)
    50047    0.022    0.000    0.045    0.000 numeric.py:424(asarray)
    99992    0.022    0.000    0.029    0.000 arrayprint.py:839(<genexpr>)
    50074    0.021    0.000    0.021    0.000 {built-in method numpy.core.multiarray.normalize_axis_index}
    24998    0.021    0.000    0.021    0.000 util.py:388(<listcomp>)
    25141    0.020    0.000    0.020    0.000 {method 'copy' of 'dict' objects}
    25006    0.020    0.000    0.091    0.000 fromnumeric.py:163(reshape)
    79393    0.019    0.000    0.019    0.000 {method 'get' of 'dict' objects}
    82507    0.018    0.000    0.018    0.000 {method 'items' of 'dict' objects}
    25008    0.018    0.000    0.062    0.000 fromnumeric.py:529(transpose)
     5696    0.018    0.000    0.024    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
       13    0.017    0.001    0.301    0.023 numpy_func.py:273(implementation)
     4089    0.017    0.000    0.041    0.000 util.py:324(__init__)
    50010    0.017    0.000    0.025    0.000 linalg.py:110(isComplexType)
    39720    0.016    0.000    0.016    0.000 {built-in method builtins.min}
    25050    0.016    0.000    0.016    0.000 {method 'transpose' of 'numpy.ndarray' objects}
    93/57    0.015    0.000    0.105    0.002 {built-in method _imp.exec_dynamic}
        1    0.014    0.014   14.714   14.714 util.py:114(get_qpoint_labels)
    25033    0.014    0.000    0.014    0.000 {method 'split' of '_sre.SRE_Pattern' objects}
     3992    0.013    0.000    0.037    0.000 tokenize.py:492(_tokenize)
     7532    0.013    0.000    0.013    0.000 {method 'splitlines' of 'str' objects}
 4529/453    0.013    0.000    0.029    0.000 registry.py:727(_get_dimensionality_recurse)
     1386    0.012    0.000    0.079    0.000 <frozen importlib._bootstrap_external>:1233(find_spec)
      316    0.012    0.000    0.013    0.000 sre_compile.py:250(_optimize_charset)
   117976    0.011    0.000    0.011    0.000 {method 'append' of 'list' objects}
    13805    0.011    0.000    0.020    0.000 abc.py:180(__instancecheck__)
 2899/425    0.011    0.000    0.030    0.000 registry.py:870(_get_root_units_recurse)
    24999    0.011    0.000    0.118    0.000 _methods.py:25(_amax)
    40401    0.010    0.000    0.010    0.000 {method 'rstrip' of 'str' objects}
     7521    0.010    0.000    0.010    0.000 {method 'expandtabs' of 'str' objects}
      323    0.009    0.000    0.017    0.000 doccer.py:128(indentcount_lines)
    50048    0.009    0.000    0.009    0.000 {built-in method _operator.index}
    24998    0.009    0.000    0.064    0.000 _methods.py:28(_amin)
     7470    0.009    0.000    0.009    0.000 {method 'read' of '_io.BufferedReader' objects}
    77312    0.009    0.000    0.009    0.000 {method 'lower' of 'str' objects}
    25302    0.009    0.000    0.009    0.000 {method 'update' of 'dict' objects}
    25005    0.008    0.000    0.008    0.000 {method 'upper' of 'str' objects}
    28031    0.008    0.000    0.008    0.000 {method 'strip' of 'str' objects}
 1309/632    0.008    0.000    0.062    0.000 pint_eval.py:105(build_eval_tree)
    18469    0.008    0.000    0.008    0.000 _weakrefset.py:70(__contains__)
       12    0.008    0.001    0.008    0.001 {built-in method io.open}
     3474    0.007    0.000    0.007    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
       76    0.007    0.000    0.007    0.000 {built-in method posix.listdir}
     5446    0.007    0.000    0.007    0.000 {built-in method __new__ of type object at 0x2b218fd9d8e0}
      509    0.007    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:430(_validate_bytecode_header)
   509/96    0.007    0.000    0.021    0.000 sre_parse.py:470(_parse)
        1    0.007    0.007    0.167    0.167 registry.py:595(_build_cache)
    25002    0.007    0.000    0.007    0.000 _iotools.py:20(_decode_line)
    20786    0.007    0.000    0.007    0.000 __init__.py:877(__getitem__)
    27007    0.006    0.000    0.006    0.000 {built-in method _thread.get_ident}
       14    0.006    0.000    0.006    0.000 {built-in method numpy.core.multiarray.c_einsum}
     8317    0.006    0.000    0.026    0.000 registry.py:632(get_name)
16742/16741    0.006    0.000    0.008    0.000 {method 'join' of 'str' objects}
    25002    0.006    0.000    0.006    0.000 {method '__array_prepare__' of 'numpy.ndarray' objects}
        1    0.006    0.006    0.029    0.029 force_constants.py:1073(_calculate_supercell_images)
        1    0.006    0.006    0.006    0.006 {built-in method spglib._spglib.dataset}
     7147    0.006    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:57(_path_join)
    24998    0.006    0.000    0.006    0.000 {method 'discard' of 'set' objects}
    28442    0.005    0.000    0.005    0.000 {method 'add' of 'set' objects}
     7147    0.005    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:59(<listcomp>)
      614    0.005    0.000    0.131    0.000 util.py:583(from_string)
    25391    0.005    0.000    0.005    0.000 {built-in method builtins.id}
   845/89    0.005    0.000    0.027    0.000 sre_compile.py:64(_compile)
    12600    0.005    0.000    0.005    0.000 util.py:410(__hash__)
      641    0.005    0.000    0.096    0.000 <frozen importlib._bootstrap>:870(_find_spec)
     3360    0.004    0.000    0.052    0.000 compat.py:29(tokenizer)
     3227    0.004    0.000    0.009    0.000 util.py:422(__eq__)
     3227    0.004    0.000    0.004    0.000 {method 'replace' of 'str' objects}
     1001    0.004    0.000    0.048    0.000 registry.py:798(_get_root_units)
        1    0.004    0.004    0.004    0.004 util.py:140(<listcomp>)
    11854    0.004    0.000    0.004    0.000 util.py:404(__getitem__)
        1    0.004    0.004    0.143    0.143 qpoint_phonon_modes.py:168(calculate_structure_factor)
    12030    0.004    0.000    0.006    0.000 util.py:398(__iter__)
     5056    0.004    0.000    0.004    0.000 re.py:324(_subx)
     1003    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
     1018    0.004    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:263(cache_from_source)
     2575    0.004    0.000    0.011    0.000 enum.py:801(__and__)
      509    0.004    0.000    0.185    0.000 <frozen importlib._bootstrap_external>:743(get_code)
     5642    0.004    0.000    0.004    0.000 enum.py:515(__new__)
     1162    0.004    0.000    0.044    0.000 registry.py:702(_get_dimensionality)
     7354    0.004    0.000    0.004    0.000 sre_parse.py:232(__next)
      345    0.004    0.000    0.008    0.000 inspect.py:2095(_signature_from_function)
 1926/632    0.003    0.000    0.033    0.000 pint_eval.py:67(evaluate)
     2466    0.003    0.000    0.027    0.000 util.py:532(__init__)
     4739    0.003    0.000    0.006    0.000 util.py:642(__hash__)
      607    0.003    0.000    0.015    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
    650/8    0.003    0.000    1.117    0.140 <frozen importlib._bootstrap>:966(_find_and_load)
     3091    0.003    0.000    0.007    0.000 __init__.py:894(__contains__)
      487    0.003    0.000    0.005    0.000 definitions.py:44(from_string)
      392    0.003    0.000    0.096    0.000 definitions.py:236(from_string)
      636    0.003    0.000    0.088    0.000 <frozen importlib._bootstrap_external>:1117(_get_spec)
      632    0.003    0.000    0.006    0.000 tokenize.py:355(detect_encoding)
      632    0.003    0.000    0.030    0.000 util.py:762(string_preprocessor)
      672    0.003    0.000    0.004    0.000 inspect.py:2714(__init__)
       96    0.003    0.000    0.100    0.001 _distn_infrastructure.py:1487(__init__)
     1192    0.003    0.000    0.059    0.000 registry.py:1060(_dedup_candidates)
3138/1160    0.003    0.000    0.539    0.000 <frozen importlib._bootstrap>:997(_handle_fromlist)
        2    0.003    0.001    0.003    0.001 {built-in method numpy.core.multiarray.digitize}
        1    0.003    0.003    0.099    0.099 castep.py:158(_read_interpolation_data)
     5655    0.003    0.000    0.012    0.000 enum.py:265(__call__)
    607/8    0.003    0.000    1.116    0.139 <frozen importlib._bootstrap>:651(_load_unlocked)
     1830    0.003    0.000    0.023    0.000 util.py:536(from_word)
        1    0.003    0.003   24.619   24.619 run_euphonic.py:1(<module>)
     1003    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:78(acquire)
  673/345    0.003    0.000    0.017    0.000 inspect.py:2176(_signature_from_callable)
      632    0.003    0.000    0.010    0.000 tokenize.py:464(tokenize)
    648/8    0.003    0.000    1.117    0.140 <frozen importlib._bootstrap>:936(_find_and_load_unlocked)
    17084    0.003    0.000    0.003    0.000 {method 'lstrip' of 'str' objects}
     7582    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
     1065    0.003    0.000    0.005    0.000 registry.py:476(_define_single_adder)
     1255    0.002    0.000    0.015    0.000 util.py:557(eval_token)
    12714    0.002    0.000    0.002    0.000 {built-in method builtins.iter}
     2263    0.002    0.000    0.061    0.000 re.py:286(_compile)
      933    0.002    0.000    0.002    0.000 {method 'format' of 'str' objects}
        5    0.002    0.000    0.002    0.000 {method 'readlines' of '_io._IOBase' objects}
     4982    0.002    0.000    0.006    0.000 castep.py:362(record_mark_read)
     2294    0.002    0.000    0.010    0.000 util.py:656(__eq__)
     1003    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:103(release)
       11    0.002    0.000    0.008    0.001 util.py:262(<dictcomp>)
     5977    0.002    0.000    0.005    0.000 sre_parse.py:253(get)
 1256/509    0.002    0.000    0.003    0.000 sre_parse.py:173(getwidth)
     7326    0.002    0.000    0.003    0.000 _collections_abc.py:719(__iter__)
       16    0.002    0.000    0.004    0.000 enum.py:124(__new__)
     2491    0.002    0.000    0.014    0.000 castep.py:340(_read_entry)
      334    0.002    0.000    0.022    0.000 _util.py:269(getargspec_no_self)
      602    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:524(spec_from_file_location)
      109    0.002    0.000    0.030    0.000 _distn_infrastructure.py:626(_construct_argparser)
     5578    0.002    0.000    0.002    0.000 {method 'rpartition' of 'str' objects}
      607    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:318(__exit__)
      642    0.002    0.000    0.004    0.000 util.py:969(__next__)
     5722    0.002    0.000    0.002    0.000 util.py:401(__len__)
     6182    0.002    0.000    0.002    0.000 __init__.py:895(<genexpr>)
      322    0.002    0.000    0.007    0.000 util.py:666(operate)
