Euphonic version: 0+unknown
         1604072 function calls (1559110 primitive calls) in 2.781 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    1.019    1.019    1.019    1.019 {built-in method euphonic._euphonic.calculate_phonons}
    94/93    0.124    0.001    0.129    0.001 {built-in method _imp.create_dynamic}
      505    0.122    0.000    0.163    0.000 <frozen importlib._bootstrap_external>:830(get_data)
        2    0.081    0.041    0.081    0.041 linalg.py:1822(det)
        2    0.066    0.033    0.268    0.134 npyio.py:994(read_data)
      505    0.059    0.000    0.059    0.000 {built-in method marshal.loads}
     7470    0.057    0.000    0.057    0.000 {method 'read' of '_io.BufferedReader' objects}
    749/1    0.047    0.000    2.783    2.783 {built-in method builtins.exec}
     2768    0.046    0.000    0.046    0.000 {built-in method posix.stat}
    75000    0.046    0.000    0.054    0.000 npyio.py:734(floatconv)
50000/25000    0.043    0.000    0.046    0.000 npyio.py:966(pack_items)
      505    0.041    0.000    0.041    0.000 {method 'read' of '_io.FileIO' objects}
62188/62183    0.033    0.000    0.033    0.000 {built-in method builtins.hasattr}
    25001    0.030    0.000    0.069    0.000 npyio.py:982(split_line)
1219/1213    0.029    0.000    0.073    0.000 {built-in method builtins.__build_class__}
     2491    0.024    0.000    0.053    0.000 registry.py:1030(_parse_unit_name)
   154718    0.024    0.000    0.024    0.000 {method 'startswith' of 'str' objects}
      318    0.024    0.000    0.071    0.000 doccer.py:12(docformat)
    25000    0.023    0.000    0.077    0.000 npyio.py:1019(<listcomp>)
        1    0.022    0.022    0.022    0.022 linalg.py:1162(eigh)
    51482    0.019    0.000    0.053    0.000 numpy_func.py:57(<genexpr>)
        6    0.018    0.003    0.018    0.003 {built-in method numpy.core.multiarray.dot}
     3961    0.017    0.000    0.041    0.000 util.py:324(__init__)
     5588    0.017    0.000    0.023    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
    55490    0.017    0.000    0.036    0.000 {built-in method builtins.isinstance}
    25033    0.015    0.000    0.015    0.000 {method 'split' of '_sre.SRE_Pattern' objects}
    94/58    0.015    0.000    0.128    0.002 {built-in method _imp.exec_dynamic}
124972/122661    0.013    0.000    0.014    0.000 {built-in method builtins.len}
     3936    0.013    0.000    0.037    0.000 tokenize.py:492(_tokenize)
     7532    0.013    0.000    0.013    0.000 {method 'splitlines' of 'str' objects}
 4489/451    0.013    0.000    0.029    0.000 registry.py:727(_get_dimensionality_recurse)
      238    0.012    0.000    0.012    0.000 {built-in method numpy.core.multiarray.array}
     1383    0.012    0.000    0.080    0.000 <frozen importlib._bootstrap_external>:1233(find_spec)
      316    0.012    0.000    0.013    0.000 sre_compile.py:250(_optimize_charset)
   117827    0.012    0.000    0.012    0.000 {method 'append' of 'list' objects}
    27465    0.011    0.000    0.011    0.000 {method 'split' of 'str' objects}
    13669    0.011    0.000    0.019    0.000 abc.py:180(__instancecheck__)
 2835/422    0.011    0.000    0.028    0.000 registry.py:870(_get_root_units_recurse)
     7521    0.010    0.000    0.010    0.000 {method 'expandtabs' of 'str' objects}
      323    0.009    0.000    0.017    0.000 doccer.py:128(indentcount_lines)
    51492    0.009    0.000    0.035    0.000 numpy_func.py:24(_is_quantity)
    77309    0.009    0.000    0.009    0.000 {method 'lower' of 'str' objects}
    25002    0.008    0.000    0.008    0.000 _iotools.py:20(_decode_line)
    18164    0.008    0.000    0.008    0.000 _weakrefset.py:70(__contains__)
 1293/620    0.008    0.000    0.061    0.000 pint_eval.py:105(build_eval_tree)
       75    0.008    0.000    0.008    0.000 {built-in method posix.listdir}
     4616    0.007    0.000    0.067    0.000 {built-in method builtins.any}
     3428    0.007    0.000    0.007    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
     5091    0.007    0.000    0.007    0.000 {built-in method __new__ of type object at 0x2b1f0d24f8e0}
    28022    0.007    0.000    0.007    0.000 {method 'strip' of 'str' objects}
   509/96    0.007    0.000    0.021    0.000 sre_parse.py:470(_parse)
      505    0.007    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:430(_validate_bytecode_header)
        1    0.007    0.007    0.168    0.168 registry.py:595(_build_cache)
    20313    0.006    0.000    0.007    0.000 __init__.py:877(__getitem__)
        1    0.006    0.006    0.030    0.030 force_constants.py:1073(_calculate_supercell_images)
16687/16686    0.006    0.000    0.007    0.000 {method 'join' of 'str' objects}
     8151    0.006    0.000    0.024    0.000 registry.py:632(get_name)
     9259    0.006    0.000    0.006    0.000 {built-in method builtins.getattr}
     7123    0.006    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:57(_path_join)
        1    0.005    0.005    1.148    1.148 force_constants.py:129(calculate_qpoint_phonon_modes)
      611    0.005    0.000    0.130    0.000 util.py:583(from_string)
     7123    0.005    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:59(<listcomp>)
   845/89    0.005    0.000    0.027    0.000 sre_compile.py:64(_compile)
    12383    0.005    0.000    0.005    0.000 util.py:410(__hash__)
      638    0.005    0.000    0.097    0.000 <frozen importlib._bootstrap>:870(_find_spec)
    14713    0.004    0.000    0.004    0.000 {built-in method builtins.min}
     3316    0.004    0.000    0.052    0.000 compat.py:29(tokenizer)
    11626    0.004    0.000    0.004    0.000 util.py:404(__getitem__)
      989    0.004    0.000    0.046    0.000 registry.py:798(_get_root_units)
     3151    0.004    0.000    0.009    0.000 util.py:422(__eq__)
     3170    0.004    0.000    0.004    0.000 {method 'replace' of 'str' objects}
     1010    0.004    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:263(cache_from_source)
     2575    0.004    0.000    0.011    0.000 enum.py:801(__and__)
     1000    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
     4960    0.004    0.000    0.004    0.000 re.py:324(_subx)
     5642    0.004    0.000    0.004    0.000 enum.py:515(__new__)
        8    0.004    0.000    0.004    0.001 {built-in method io.open}
    11681    0.004    0.000    0.006    0.000 util.py:398(__iter__)
      505    0.004    0.000    0.249    0.000 <frozen importlib._bootstrap_external>:743(get_code)
     1114    0.004    0.000    0.043    0.000 registry.py:702(_get_dimensionality)
      345    0.004    0.000    0.008    0.000 inspect.py:2095(_signature_from_function)
     4739    0.004    0.000    0.006    0.000 util.py:642(__hash__)
     7354    0.003    0.000    0.003    0.000 sre_parse.py:232(__next)
 1906/620    0.003    0.000    0.032    0.000 pint_eval.py:67(evaluate)
    647/5    0.003    0.000    1.193    0.239 <frozen importlib._bootstrap>:966(_find_and_load)
     2462    0.003    0.000    0.027    0.000 util.py:532(__init__)
      604    0.003    0.000    0.014    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
      620    0.003    0.000    0.029    0.000 util.py:762(string_preprocessor)
      487    0.003    0.000    0.005    0.000 definitions.py:44(from_string)
3116/1138    0.003    0.000    0.591    0.001 <frozen importlib._bootstrap>:997(_handle_fromlist)
      392    0.003    0.000    0.095    0.000 definitions.py:236(from_string)
      672    0.003    0.000    0.004    0.000 inspect.py:2714(__init__)
     3014    0.003    0.000    0.006    0.000 __init__.py:894(__contains__)
      633    0.003    0.000    0.089    0.000 <frozen importlib._bootstrap_external>:1117(_get_spec)
       96    0.003    0.000    0.101    0.001 _distn_infrastructure.py:1487(__init__)
    15345    0.003    0.000    0.003    0.000 {method 'rstrip' of 'str' objects}
     1174    0.003    0.000    0.058    0.000 registry.py:1060(_dedup_candidates)
      620    0.003    0.000    0.006    0.000 tokenize.py:355(detect_encoding)
     5655    0.003    0.000    0.012    0.000 enum.py:265(__call__)
    604/5    0.003    0.000    1.191    0.238 <frozen importlib._bootstrap>:651(_load_unlocked)
     1827    0.003    0.000    0.023    0.000 util.py:536(from_word)
        1    0.003    0.003    0.157    0.157 castep.py:158(_read_interpolation_data)
  673/345    0.003    0.000    0.017    0.000 inspect.py:2176(_signature_from_callable)
     1000    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:78(acquire)
      620    0.003    0.000    0.010    0.000 tokenize.py:464(tokenize)
    645/5    0.003    0.000    1.193    0.239 <frozen importlib._bootstrap>:936(_find_and_load_unlocked)
     1065    0.003    0.000    0.005    0.000 registry.py:476(_define_single_adder)
     7562    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
    17080    0.003    0.000    0.003    0.000 {method 'lstrip' of 'str' objects}
        1    0.002    0.002    2.783    2.783 run_euphonic.py:1(<module>)
     2243    0.002    0.000    0.062    0.000 re.py:286(_compile)
    12334    0.002    0.000    0.002    0.000 {built-in method builtins.iter}
     4982    0.002    0.000    0.019    0.000 castep.py:362(record_mark_read)
     2276    0.002    0.000    0.010    0.000 util.py:656(__eq__)
     1000    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:103(release)
      928    0.002    0.000    0.002    0.000 {method 'format' of 'str' objects}
        5    0.002    0.000    0.002    0.000 {built-in method numpy.core.multiarray.fromfile}
       11    0.002    0.000    0.008    0.001 util.py:262(<dictcomp>)
     5977    0.002    0.000    0.005    0.000 sre_parse.py:253(get)
      400    0.002    0.000    0.002    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     1248    0.002    0.000    0.015    0.000 util.py:557(eval_token)
 1256/509    0.002    0.000    0.003    0.000 sre_parse.py:173(getwidth)
     2491    0.002    0.000    0.064    0.000 castep.py:340(_read_entry)
     5549    0.002    0.000    0.002    0.000 {method 'rpartition' of 'str' objects}
     7326    0.002    0.000    0.003    0.000 _collections_abc.py:719(__iter__)
       16    0.002    0.000    0.004    0.000 enum.py:124(__new__)
