Euphonic version: 0+unknown
         132710979 function calls (132465665 primitive calls) in 251.091 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    25001   32.731    0.001  191.044    0.008 force_constants.py:701(_calculate_dipole_correction)
   625342   24.740    0.000   24.740    0.000 {built-in method numpy.core.multiarray.dot}
   601937   21.316    0.000   60.209    0.000 einsumfunc.py:541(einsum_path)
  1479339   17.378    0.000   17.378    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    25001   17.294    0.001   33.351    0.001 force_constants.py:492(_calculate_dyn_mat)
   601937   11.098    0.000  127.591    0.000 einsumfunc.py:819(einsum)
   550330    8.587    0.000   48.098    0.000 numeric.py:1123(tensordot)
    25001    6.426    0.000    6.942    0.000 linalg.py:1162(eigh)
    50128    6.382    0.000    6.382    0.000 {method 'repeat' of 'numpy.ndarray' objects}
  1728337    5.034    0.000    5.726    0.000 einsumfunc.py:45(_find_contraction)
    25061    4.858    0.000    4.858    0.000 {built-in method numpy.core.multiarray.concatenate}
   601937    4.700    0.000    8.994    0.000 einsumfunc.py:373(_parse_einsum_input)
   501927    4.597    0.000    4.597    0.000 {built-in method numpy.core.multiarray.c_einsum}
   827217    4.164    0.000    4.870    0.000 einsumfunc.py:265(_can_dot)
   225280    4.090    0.000    9.270    0.000 einsumfunc.py:186(_greedy_path)
  6540804    3.796    0.000    3.796    0.000 einsumfunc.py:16(_compute_size_by_dict)
   125018    3.060    0.000    9.568    0.000 numeric.py:1591(cross)
24972455/24945117    2.971    0.000    2.982    0.000 {built-in method builtins.len}
  1428308    2.428    0.000    2.428    0.000 {built-in method builtins.sorted}
  3555380    2.402    0.000    2.402    0.000 {built-in method numpy.core.multiarray.array}
  1751117    2.376    0.000    2.376    0.000 {method 'reshape' of 'numpy.ndarray' objects}
   800108    2.335    0.000    3.354    0.000 numeric.py:1459(normalize_axis_tuple)
 16229009    2.144    0.000    2.144    0.000 {method 'append' of 'list' objects}
    25001    2.027    0.000    2.345    0.000 force_constants.py:1015(_calculate_phases)
  3008186    1.684    0.000    1.684    0.000 {method 'split' of 'str' objects}
   375056    1.641    0.000    5.601    0.000 numeric.py:1515(moveaxis)
  3308869    1.329    0.000    1.329    0.000 {method 'pop' of 'list' objects}
  2460076    1.302    0.000    1.302    0.000 {method 'replace' of 'str' objects}
    25000    1.252    0.000  233.312    0.009 force_constants.py:442(_calculate_phonons_at_q)
  1575737    1.166    0.000    1.166    0.000 {method 'transpose' of 'numpy.ndarray' objects}
3565343/3565291    1.080    0.000    1.815    0.000 {built-in method builtins.isinstance}
99992/49996    1.047    0.000    1.633    0.000 numeric.py:1309(roll)
   601937    0.982    0.000    0.982    0.000 einsumfunc.py:693(<listcomp>)
  1329139    0.880    0.000    0.944    0.000 {built-in method builtins.max}
   601937    0.873    0.000    2.049    0.000 einsumfunc.py:404(<listcomp>)
    74994    0.868    0.000    1.893    0.000 numeric.py:2319(within_tol)
    25004    0.836    0.000   21.068    0.001 crystal.py:76(reciprocal_cell)
   740561    0.831    0.000    0.961    0.000 {built-in method builtins.min}
   200235    0.750    0.000    1.695    0.000 quantity.py:201(__new__)
  1175164    0.719    0.000    0.719    0.000 {built-in method numpy.core.multiarray.normalize_axis_index}
  1805082    0.712    0.000    0.712    0.000 {method 'count' of 'str' objects}
  1879147    0.681    0.000    2.093    0.000 numeric.py:495(asanyarray)
  2612228    0.670    0.000    0.670    0.000 {method 'pop' of 'dict' objects}
   230777    0.640    0.000    0.833    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
    24998    0.555    0.000    1.601    0.000 arrayprint.py:780(fillFormat)
   403333    0.554    0.000    0.922    0.000 util.py:422(__eq__)
1062143/1037125    0.553    0.000    0.643    0.000 {built-in method builtins.hasattr}
  1425746    0.552    0.000    1.091    0.000 numeric.py:424(asarray)
    50003    0.505    0.000    0.505    0.000 {method 'outer' of 'numpy.ufunc' objects}
   103683    0.472    0.000    7.765    0.000 fromnumeric.py:1778(sum)
   100040    0.445    0.000    0.445    0.000 {built-in method numpy.core.multiarray.zeros}
  3531448    0.445    0.000    0.445    0.000 {method 'keys' of 'dict' objects}
  1150711    0.442    0.000    0.442    0.000 {method 'find' of 'str' objects}
